isbn	title	author	publisher	year_published	dewey_decimal	lcc_number	subjects
9780201634594	The Java application programming interface	Gosling, James|Yellin, Frank	Addison-Wesley Publ	1996	5.133	QA76.73	java_computer_program_language
9780879422936	The probability tutoring book	Ash, Carol	IEEE Press	1993	620.00151	TA340	engineering_mathematics|probabilities
9780470973929	The R Book	Crawley, Michael J.	Wiley	2013	519.502855133		computers_technology_programming_languages_tools|education_reference|science_math_mathematics
9780199747047	The science of web surveys	Tourangeau, Roger|Frederick G. Conrad|Couper, Mick	Oxford University Press	2013	300.723	HM538	social_surveys_methodology1|social_surveys_data_processing1|internet_surveys1|questionnaires1
9780878915156	The statistics problem solver	Fogiel, Max	REA	2000	519.5076	QA276.2	statistics_problems_exercises_etc|mathematical_statistics_problems_exercises_etc
9780470448489	The truth about day trading stocks	Josh DiPietro	Wiley	2009	332.63228	HG4515.95	business_investing_investing_options|business_investing_investing_stocks|business_investing_investing_general|business_investing_investing_general_aas|business_investing_general|business_investing_general_aas|day_trading_securities|electronic_trading_of_securities
9780742547179	The voter's guide to election polls	Lavrakas, Paul|Traugott, Michael W.	Rowman & Littlefield Publishers	2008	303.380973	HN90	public_opinion_united_states|public_opinion_polls|election_forecasting_united_states|press_and_politics_united_states
9780387951089	Topics in survey sampling	Mukhopadhyay, Parimal	Springer	2001	519.52	QA276.6	sampling_statistics
9780471384731	Trade stocks online	Larson, Mark L.	Wiley	2000	332.6420285		investments_computer_network_resources|day_trading_securities
9780764556890	Trading for dummies	Griffis, Michael|Epstein, Lita	Wiley	2004	332.64		electronic_trading_of_securities|investments|stocks|stock_exchanges|securities|portfolio_management|investment_analysis
9781400050321	Treason	Coulter, Ann H.	Crown Forum	2003	320.51	E743	liberalism_united_states_history_20th_century|anti_communist_movements_united_states_history|united_states_politics_and_government_1945_1989|united_states_foreign_relations_1945_1989|united_states_politics_and_government_1989|united_states_foreign_relations_1989
9780444703576	Unified theory and strategies of survey sampling	Chaudhuri, Arijit	North-Holland	1988	519.52	QA276.6	sampling_statistics
9780472065912	Value change in global perspective	Abramson, Paul R.|Inglehart, Ronald	University of Michigan Press	1995	306.094	HN371	social_values_europe|social_surveys_europe|europe_social_conditions_20th_century
9780789708151	VBScript by example	Honeycutt, Jerry	Que	1996	5.2762	QA76.73	vbscript_computer_program_language|internet_programming|html_document_markup_language|world_wide_web
9780669388138	Writers INC	Sebranek, Patrick|Meyer, Verne|Kemper, Dave	Write Source	1996	808.042	PE1408	amazon_com_reference_writing_general|english_language_rhetoric_handbooks_manuals_etc|report_writing_handbooks_manuals_etc|study_skills_handbooks_manuals_etc
9780596527211	XSLT	Tidwell, Doug	O'Reilly	2001	5.72	QA76.73	xslt_computer_program_language|xml_document_markup_language
9780764536519	XSLT for dummies	Wagner, Richard	Hungry Minds	2002	5.72	QA76.73	xslt_computer_program_language
9780449909287	Operating instructions	Lamott, Anne	Fawcett Columbine	1994	813.54	PS3562	
9780373708352	The doctor's daughter	Bowen, Judith	Harlequin	1999			
9780812513738	The shadow rising	Jordan, Robert S.	TOR	1993			fantasy|fantastic_fiction
9788485229604	La cr�nica del Per�	Pedro de Cieza de Le�n	Historia 16	1984			
9780812971064	Reading Lolita in Tehran	Nafisi, Azar	Random House Trade Paperbacks	2003		PE64	nafisi_azar|english_teachers_iran_biography|english_literature_study_and_teaching_iran|american_literature_study_and_teaching_iran|women_books_and_reading_iran|books_and_reading_iran|group_reading_iran
9780375700699	Trap Line	Hiaasen, Carl|BILL MONTALBANO	Vintage	1998			amazon_com_mystery_thrillers_mystery_general|amazon_com_mystery_thrillers_authors_a_z_h_hiaasen_carl|amazon_com_mystery_thrillers_general
9780553213539	The Invisible Man	H.G. WELLS	Bantam Classics	1983			
9781573247023	The Food Revolution: How Your Diet Can Help Save Your Life and Our World	Robbins, John|Dean Ornish MD	Conari Press	2001			amazon_com_cooking_food_wine_vegetables_vegetarian_general|amazon_com_health_mind_body_diets_weight_loss_diets_general|amazon_com_health_mind_body_diets_weight_loss_diets_healthy|amazon_com_health_mind_body_personal_health_healthy_living
9780563537236	Down to Earth	Addis, Faith	BBC Books	2000			
9781932560497	Bedtime Stories for Women	Nancy Madore	Llumina Press	2003			amazon_com_literature_fiction_general_contemporary|amazon_com_literature_fiction_genre_fiction_erotica_general|amazon_com_literature_fiction_short_stories_united_states|amazon_com_literature_fiction_short_stories_general
9780345406415	Rookery blues	Hassler, Jon	Ballantine Books	1996			universities_and_colleges_minnesota_fiction|college_teachers_minnesota_fiction|jazz_musicians_minnesota_fiction|historical_fiction|musical_fiction
9780553158939	The ghost in the bell tower	Pascal, Francine|Suzanne, Jamie	Bantam Skylark Book	1992			
9780807530818	The guide dog mystery	Warner, Gertrude Chandler|Tang, Charles	A. Whitman	1996		PZ7	dogs_training_fiction|orphans_fiction
9781591824091	Chobits, Book 8	Clamp	TokyoPop	2003			amazon_com_science_fiction_fantasy_science_fiction_general|amazon_com_comics_graphic_novels_manga_general|amazon_com_comics_graphic_novels_manga_shonen_boys|amazon_com_comics_graphic_novels_manga_shojo_girls|amazon_com_comics_graphic_novels_manga_by_publisher_tokyopop|amazon_com_comics_graphic_novels_manga_fantasy|amazon_com_comics_graphic_novels_manga_science_fiction
9780425170502	White Horses	Hoffman, Alice	Berkley Publishing Group	1999			
9780553057454	Confessions	Silber, Diana	Bantam Books	1990	813.54	PS3569	
9780451156457	The New Left	Rand, Ayn	Signet	1988	303.484		
9780966080520	Day job	Baird, Jonathan|Allen, Carol	Allen & Osborne	1998		HF5548.8	business_investing_organizational_behavior_workplace|entertainment_humor_business|entertainment_humor_self_help_psychology|literature_fiction_world_literature_united_states|literature_fiction_contemporary|nonfiction_social_sciences_anthropology_cultural|psychology_industrial_humor|clerks_humor|offices_humor|work_environment_humor|work_philosophy|working_class_writings_american|diary_fiction
9780553288551	The wind dancer	Johansen, Iris	Bantam Books	1991			
9780373707010	Hot & bothered	Ann Llewellyn Evans	Harlequin Books	1996			love_stories
9780440213291	The copper beech	Binchy, Maeve	Dell	1993			country_life_ireland_fiction|ireland_fiction|pastoral_fiction
9780440222828	The Mercy Rule	Lescroart, John T.	Island Books	1999			
9780609608739	Justice	Dunne, Dominick	Crown Publishers	2001			trials_murder_united_states
9780395440902	The boy of the three-year nap	Snyder, Dianne|Say, Allen	Houghton Mifflin	1988	398.2	PZ8.1	laziness_folklore|folklore_japan|japan_fiction
9780840758637	The confessions of Saint Augustine	Blaiklock, E. M.	T. Nelson	1983		BR65	augustine_saint_bishop_of_hippo|christian_saints_algeria_hippo_extinct_city_biography|hippo_extinct_city_biography
9782070363513	Au-dessous du volcan	Lowry M	Gallimard	1973			
9780060960803	The movie lover's guide to New York	RICHARD ALLEMAN	Perennial Library	1988	384.8097471	F128.18	motion_picture_industry_new_york_n_y|new_york_n_y_description_1981_guide_books_aaaa0
